Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
48,2.0,0.0,0.0,759.0,8.0,49.0,2635.0,0.1,36.01199999999997,0.0,0.0,555.9535601139069,,,,,,,,,,,,,,,,,,,,,14.166291973210914,12.136260745678983,35.38859349170258,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,855.0,9.0,96.0,2731.0,0.1,85.01000000000005,0.0,0.0,565.5445165634155,,,,,,,,,,,,,,,,,,,,,37.8861376173339,25.938588433005613,81.53592109500488,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,900.0,10.0,45.0,2776.0,0.1,33.010999999999974,0.0,0.0,570.2496418952942,,,,,,,,,,,,,,,,,,,,,13.065300261578535,11.170269526279334,32.48800501024444,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,930.0,11.0,30.0,2806.0,0.1,21.00800000000001,0.0,0.0,573.4562759399414,,,,,,,,,,,,,,,,,,,,,8.348237330869111,7.316556796244079,20.79913034162684,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,965.0,12.0,35.0,2841.0,0.1,25.00900000000001,0.0,0.0,577.1419594287872,,,,,,,,,,,,,,,,,,,,,9.92477987501447,8.60821792030225,24.71103005345135,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,1001.0,13.0,36.0,2877.0,0.1,25.010000000000012,0.0,0.0,580.9514019489288,,,,,,,,,,,,,,,,,,,,,9.65007424186046,8.643090429692087,24.71199660851345,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,1057.0,14.0,56.0,2933.0,0.1,48.006999999999984,0.0,0.0,586.7264974117279,,,,,,,,,,,,,,,,,,,,,21.517673208807828,15.230210463616842,46.89575491438062,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,1084.0,15.0,27.0,2960.0,0.1,19.00700000000001,0.0,0.0,589.5316486358643,,,,,,,,,,,,,,,,,,,,,7.697853078427348,6.648382327687362,18.83681275558087,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,1134.0,16.0,50.0,3010.0,0.1,39.00999999999998,0.0,0.0,594.5796098709106,,,,,,,,,,,,,,,,,,,,,16.177710142395192,12.925631910144043,38.27763147820517,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1169.0,17.0,35.0,3045.0,0.1,26.00800000000001,0.0,0.0,598.3824343681335,,,,,,,,,,,,,,,,,,,,,10.685501464240314,8.868737436768068,25.6853524683358,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,1205.0,18.0,36.0,3081.0,0.1,27.00800000000001,0.0,0.0,602.2218799591064,,,,,,,,,,,,,,,,,,,,,11.156265519365627,9.17454302838589,26.659667115867467,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1255.0,19.0,50.0,3131.0,0.1,41.00799999999998,0.0,0.0,607.4956607818604,,,,,,,,,,,,,,,,,,,,,17.802901891634846,13.338112140166977,40.19821112946605,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1326.0,20.0,71.0,3202.0,0.1,64.00600000000003,0.0,0.0,614.7370510101318,,,,,,,,,,,,,,,,,,,,,29.56829994701073,19.541733345605714,62.030649973058374,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
